source_group_id,question,r_o,r_s,OO_correct,OS_correct,SO_correct,SS_correct,OO_d_raw,OS_d_raw,SO_d_raw,SS_d_raw
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,What is the creation of a new species called?,speciation,gills,True,True,True,False,16.4531,-21.8750,-13.8750,-14.1250
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,What kind of muscle cells have a single nucleus and are spindle-shaped?,smooth muscle,fiber optics,True,True,True,False,16.0078,-20.8438,-16.1523,-17.1309
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,The radioactive gas radon and uv radiation are culprits in different types of what disease?,cancer,alteration,True,True,True,False,16.3782,-19.1562,-4.5625,-3.0000
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,Purple loosestrife is a european wildflower that was introduced to which continent in the 1800's?,north america,intercellular,True,True,True,False,18.1094,-19.7188,-17.0625,-14.2188
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,Which element has the highest electronegativity value?,fluorine,chemosynthesis,True,True,True,False,18.4688,-21.7500,-13.1250,-16.3398
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,What is the simplest life cycle?,haploid,suspension feeders,True,True,True,True,13.7656,-20.0938,-18.0000,8.0625
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,"What planet, covered by a thick layer of clouds, looks smooth and featureless through a telescope?",venus,breed,True,True,True,False,16.8359,-19.1719,-4.0625,-11.0000
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,"Exotic species, also known as invasive or non-native species often cause _______ when introduced to new environments.",extinction,nervous system,True,True,True,False,14.5938,-21.4062,-18.5781,-15.4375
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,Which law predicts increasing entropy based on living systems?,thermodynamic,fracking,True,True,True,False,13.4531,-21.6875,-15.4531,-10.9375
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it is impossible to undo. this change is known as what?",chemical change,the sun,True,True,True,False,18.0000,-20.3125,-12.4062,-13.0312
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,What is the most important element to life?,carbon,greater,True,True,True,True,17.3906,-17.1406,-19.5312,7.0625
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,A pigment within plant cells which absorbs light is called?,chlorophyll,cell membrane,True,True,True,False,17.0312,-22.2812,-17.3438,-18.0469
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,What is the largest known animal?,the blue whale,replace another in a molecule,True,True,True,False,17.4062,-21.9375,-17.8750,-11.8125
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,What is the process by which the nucleus of a eukaryotic cell divides?,mitosis,causation,True,True,True,False,16.9688,-21.7812,-13.7891,-9.3750
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,What do most of the noble gas elements have in common?,eight valence electrons,ice,True,True,True,False,13.7344,-19.7500,-19.0312,-15.1113
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,"Distinguished by the great red spot, what planet has an upper atmosphere containing ammonia clouds?",jupiter,oogenesis,True,True,True,False,17.3750,-21.6250,-1.9375,-15.1250
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,Research that focuses on understanding basic properties and processes without concern for the usefulness of this understanding is known as what kind of research?,pure research,magnetosphere,True,True,False,False,18.2500,-21.2188,9.2188,-16.4316
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,What plant structures are the main avenues by which water evaporates from the sporophyte?,stomata,flower,True,True,True,True,16.2695,-20.6250,-18.0938,11.0938
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,What makes the sun glow brightly?,nuclear fusion,global warming,True,True,True,False,16.7109,-22.7500,-19.1875,-6.1250
